"symIndex","startDay","delta1","delta2","delta3","nowEndDelta"
212,1517,0.014705882352941235,0.01995798319327724,-0.010504201680672232,0
212,1517,-0.014705882352941235,-0.01995798319327724,0.010504201680672232,0
124,1043,-0.018115942028985366,-0.0021739130434783593,-0.005072463768115876,-1
124,1043,0.018115942028985366,0.0021739130434783593,0.005072463768115876,1
145,2198,-0.010731052984574108,0.0046948356807511304,0.020791415157612403,-1
145,2198,0.010731052984574108,-0.0046948356807511304,-0.020791415157612403,1
34,2825,0.005305780508238045,0.048031276179837934,0.020943870427254985,1
34,2825,-0.005305780508238045,-0.048031276179837934,-0.020943870427254985,-1
201,1420,-0.006006006006006093,0.012012012012011963,0.0,0
201,1420,0.006006006006006093,-0.012012012012011963,-0.0,0
95,2582,-0.0637500000000002,-0.05062499999999992,0.030000000000000027,-1
95,2582,0.0637500000000002,0.05062499999999992,-0.030000000000000027,1
3,4984,0.010449927431059436,-0.01132075471698113,-0.009579100145137742,-1
3,4984,-0.010449927431059436,0.01132075471698113,0.009579100145137742,1
196,1088,0.0024783147459728205,-0.026022304832713727,-0.03345724907063197,-1
196,1088,-0.0024783147459728205,0.026022304832713727,0.03345724907063197,1
204,6195,-0.0078125,0.014218749999999947,0.00593750000000004,0
204,6195,0.0078125,-0.014218749999999947,-0.00593750000000004,0
161,4743,-0.06229860365198703,0.021482277121374738,-0.03222341568206222,-1
161,4743,0.06229860365198703,-0.021482277121374738,0.03222341568206222,1
173,5025,-5.554012774229289E-4,-0.006109414051652218,-0.0013885031935574332,1
173,5025,5.554012774229289E-4,0.006109414051652218,0.0013885031935574332,-1
193,4465,0.004912756225647907,-0.01355243096730474,8.47026935456574E-4,1
193,4465,-0.004912756225647907,0.01355243096730474,-8.47026935456574E-4,-1
140,3648,-0.02328675981370587,0.013306719893546148,-0.03393213572854292,0
140,3648,0.02328675981370587,-0.013306719893546148,0.03393213572854292,0
119,1745,0.04089979550102252,0.053169734151329306,-0.0122699386503069,1
119,1745,-0.04089979550102252,-0.053169734151329306,0.0122699386503069,-1
212,3529,-0.006053268765133124,-0.01210653753026636,0.004842615012106477,0
212,3529,0.006053268765133124,0.01210653753026636,-0.004842615012106477,0
172,4629,0.013794613531859068,0.028246113422377928,0.0015327348368732174,-1
172,4629,-0.013794613531859068,-0.028246113422377928,-0.0015327348368732174,1
230,4942,-0.02506265664160401,0.009022556390977488,0.008521303258145263,1
230,4942,0.02506265664160401,-0.009022556390977488,-0.008521303258145263,-1
187,2883,-0.01992409867172673,0.010436432637571325,-9.487666034158071E-4,0
187,2883,0.01992409867172673,-0.010436432637571325,9.487666034158071E-4,0
242,5346,0.013851481338976401,0.007823521867384997,-0.010260356547389993,0
242,5346,-0.013851481338976401,-0.007823521867384997,0.010260356547389993,0
245,1012,-0.010330578512396604,0.0030991735537191367,0.022727272727272596,1
245,1012,0.010330578512396604,-0.0030991735537191367,-0.022727272727272596,-1
205,4769,-0.04947566550147897,0.09115353589674646,0.03468674374831937,0
205,4769,0.04947566550147897,-0.09115353589674646,-0.03468674374831937,0
88,1704,-0.00942408376963344,0.025130890052356025,0.006282722513089034,0
88,1704,0.00942408376963344,-0.025130890052356025,-0.006282722513089034,0
19,5324,-0.022072577628133194,0.007981045018081945,0.02020202020202022,-1
19,5324,0.022072577628133194,-0.007981045018081945,-0.02020202020202022,1
132,5,-0.005747126436781436,-0.011494252873563315,0.0,1
132,5,0.005747126436781436,0.011494252873563315,-0.0,-1
11,5645,-0.0035288928098808903,0.008160564622849642,-0.0040802823114247655,0
11,5645,0.0035288928098808903,-0.008160564622849642,0.0040802823114247655,0
16,5574,-0.004356620507235176,0.01042477049945556,-0.0020227166640736094,0
16,5574,0.004356620507235176,-0.01042477049945556,0.0020227166640736094,0
11,17,0.006896551724137945,-0.024137931034482696,0.0034482758620688614,-1
11,17,-0.006896551724137945,0.024137931034482696,-0.0034482758620688614,1
112,3298,-0.011551670309085105,-0.00827349359975027,0.0204495785201374,1
112,3298,0.011551670309085105,0.00827349359975027,-0.0204495785201374,-1
41,3321,-0.008394543546694666,0.0,0.016264428121720798,0
41,3321,0.008394543546694666,-0.0,-0.016264428121720798,0
45,236,-0.006644518272425293,0.009966777408637828,-0.006644518272425293,-1
45,236,0.006644518272425293,-0.009966777408637828,0.006644518272425293,1
109,4028,0.001984126984126977,0.013227513227513255,0.003306878306878258,1
109,4028,-0.001984126984126977,-0.013227513227513255,-0.003306878306878258,-1
125,3475,-0.0029776674937964653,0.028784119106699757,0.002481389578163684,1
125,3475,0.0029776674937964653,-0.028784119106699757,-0.002481389578163684,-1
160,5883,-0.010621177985194685,6.437077566784355E-4,0.008046346958480832,0
160,5883,0.010621177985194685,-6.437077566784355E-4,-0.008046346958480832,0
158,1648,0.003351955307262511,-0.010055865921787754,0.0,-1
158,1648,-0.003351955307262511,0.010055865921787754,-0.0,1
198,5622,-0.0342992312241277,-0.0053222945002956434,0.020106445890005875,0
198,5622,0.0342992312241277,0.0053222945002956434,-0.020106445890005875,0
173,3502,0.0063620589936379535,-0.010410641989589298,-0.0046269519953732186,1
173,3502,-0.0063620589936379535,0.010410641989589298,0.0046269519953732186,-1
151,321,0.0,0.0,-0.007712082262210762,-1
151,321,-0.0,-0.0,0.007712082262210762,1
5,464,-0.018641810918774926,-0.054593874833555156,0.009320905459387352,-1
5,464,0.018641810918774926,0.054593874833555156,-0.009320905459387352,1
229,810,-0.0029673590504452063,-0.010385756676557722,0.013353115727002929,1
229,810,0.0029673590504452063,0.010385756676557722,-0.013353115727002929,-1
205,4779,0.04899135446685887,0.043227665706051854,0.04296567985328792,1
205,4779,-0.04899135446685887,-0.043227665706051854,-0.04296567985328792,-1
6,647,0.0,-0.014999999999999902,-0.0016666666666667052,0
6,647,-0.0,0.014999999999999902,0.0016666666666667052,0
185,5736,-0.0016932752781810834,-0.004354136429608024,-0.011852926947266473,-1
185,5736,0.0016932752781810834,0.004354136429608024,0.011852926947266473,1
216,768,-0.0031746031746029413,0.0031746031746029413,-0.012698412698412653,-1
216,768,0.0031746031746029413,-0.0031746031746029413,0.012698412698412653,1
124,1659,0.01030004478280322,-0.01343484102104786,-0.0049261083743843415,-1
124,1659,-0.01030004478280322,0.01343484102104786,0.0049261083743843415,1
17,3175,-0.005079365079365017,6.349206349205438E-4,-0.0107936507936508,1
17,3175,0.005079365079365017,-6.349206349205438E-4,0.0107936507936508,-1
82,938,0.0,-0.040322580645161255,-0.024193548387096753,1
82,938,-0.0,0.040322580645161255,0.024193548387096753,-1
40,4928,0.004461795872838792,-0.012269938650306678,-5.57724484104849E-4,1
40,4928,-0.004461795872838792,0.012269938650306678,5.57724484104849E-4,-1
18,2870,-0.008669267446900886,-0.021239705244906815,0.014737754659731261,-1
18,2870,0.008669267446900886,0.021239705244906815,-0.014737754659731261,1
122,1406,0.02359882005899716,-0.004916420845624492,-0.008849557522123908,0
122,1406,-0.02359882005899716,0.004916420845624492,0.008849557522123908,0
135,852,-0.01025641025641022,0.01025641025641022,0.0,-1
135,852,0.01025641025641022,-0.01025641025641022,-0.0,1
166,6193,0.027896995708154515,-0.005657432696059228,-0.0037065938353493255,1
166,6193,-0.027896995708154515,0.005657432696059228,0.0037065938353493255,-1
35,2378,-0.008456659619450413,-0.05496828752642702,-0.027484143763213398,1
35,2378,0.008456659619450413,0.05496828752642702,0.027484143763213398,-1
181,2664,-0.015522388059701298,-0.0626865671641792,-0.03522388059701487,1
181,2664,0.015522388059701298,0.0626865671641792,0.03522388059701487,-1
21,2476,-0.005688282138794132,0.018202502844141155,0.030716723549487956,-1
21,2476,0.005688282138794132,-0.018202502844141155,-0.030716723549487956,1
170,1768,-0.0055632823365785455,0.009735744089012566,0.0055632823365785455,1
170,1768,0.0055632823365785455,-0.009735744089012566,-0.0055632823365785455,-1
6,2335,-0.0199321458863444,-0.011026293469041493,-0.002968617472434376,-1
6,2335,0.0199321458863444,0.011026293469041493,0.002968617472434376,1
96,2390,-0.0058365758754861385,-0.011673151750972943,0.008754863813229541,1
